Position,Locus Tag,Replicon,Class - General,Class - Specific,# TA Sites,% Sites Hit,Reads per Site Hit,EL-ARTIST Call,Gene Function,Protein ID,%GC,K12 Homolog ,Call in Keio Collection,COG,,,,,,,,,,,,,,,,,,,,,,,
3986,EDL933_RS19045,chromosome,protein_coding,protein_coding,46,74,19,Neutral,anaerobic nitric oxide reductase flavorubredoxin,WP_000029603.1,53.4,---,Not Essential,C,,,,,,,,,,,,,,,,,,,,,,,
3987,EDL933_RS19050,chromosome,protein_coding,protein_coding,38,74,15,Neutral,nitric oxide reductase FlRd-NAD+ reductase,WP_000064701.1,54.3,b2711,Not Essential,I,,,,,,,,,,,,,,,,,,,,,,,
3988,EDL933_RS19055,chromosome,protein_coding,protein_coding,69,62,20,Neutral,carbamoyltransferase HypF,WP_001107648.1,57.6,b2712,Not Essential,O,,,,,,,,,,,,,,,,,,,,,,,
3989,EDL933_RS19060,chromosome,protein_coding,protein_coding,18,83,11,Neutral,electron transporter HydN,WP_001078777.1,52.7,b2713,Not Essential,C,,,,,,,,,,,,,,,,,,,,,,,
3990,EDL933_RS19065,chromosome,protein_coding,protein_coding,49,59,14,Neutral,transcriptional regulator,WP_001310426.1,52.6,b2714,Not Essential,K,,,,,,,,,,,,,,,,,,,,,,,
3991,EDL933_RS19070,chromosome,protein_coding,protein_coding,46,70,21,Neutral,PTS cellobiose/arbutin/salicin transporter subunit IIBC,WP_001107818.1,56.4,b2715,Not Essential,G,,,,,,,,,,,,,,,,,,,,,,,
3992,EDL933_RS19075,chromosome,protein_coding,protein_coding,58,67,22,Neutral,6-phospho-beta-glucosidase,WP_000110348.1,52.3,b2716,Not Essential,G,,,,,,,,,,,,,,,,,,,,,,,
3993,EDL933_RS19080,chromosome,protein_coding,protein_coding,22,59,23,Neutral,hydrogenase 3 maturation endopeptidase HyCI,WP_000132961.1,54.4,b2717,Not Essential,C,,,,,,,,,,,,,,,,,,,,,,,
3994,EDL933_RS19085,chromosome,protein_coding,protein_coding,14,79,46,Neutral,formate hydrogenlyase maturation protein HycH,WP_001291921.1,52.8,b2718,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
3995,EDL933_RS19090,chromosome,protein_coding,protein_coding,25,52,45,Neutral,formate hydrogenlyase subunit 7,WP_000067401.1,57.0,b2719,Not Essential,C,,,,,,,,,,,,,,,,,,,,,,,
3996,EDL933_RS19095,chromosome,protein_coding,protein_coding,12,58,9,Neutral,formate hydrogenlyase complex iron-sulfur subunit,WP_000493785.1,56.2,b2720,Not Essential,C,,,,,,,,,,,,,,,,,,,,,,,
3997,EDL933_RS19100,chromosome,protein_coding,protein_coding,59,73,39,Neutral,formate hydrogenlyase subunit 5,WP_001288134.1,56.4,b2721,Not Essential,C,,,,,,,,,,,,,,,,,,,,,,,
3998,EDL933_RS19105,chromosome,protein_coding,protein_coding,28,54,21,Neutral,hydrogenase 3 membrane subunit,WP_000115230.1,58.0,b2722,Not Essential,C,,,,,,,,,,,,,,,,,,,,,,,
3999,EDL933_RS19110,chromosome,protein_coding,protein_coding,60,68,29,Neutral,formate hydrogenlyase subunit 3,WP_001274410.1,57.9,b2723,Not Essential,CP,,,,,,,,,,,,,,,,,,,,,,,
4000,EDL933_RS19115,chromosome,protein_coding,protein_coding,17,59,21,Neutral,formate hydrogenlyase subunit 2,WP_001079181.1,56.7,b2724,Not Essential,C,,,,,,,,,,,,,,,,,,,,,,,
4001,EDL933_RS19120,chromosome,protein_coding,protein_coding,1,100,17,Neutral,hypothetical protein,WP_001303632.1,50.2,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
4002,EDL933_RS19125,chromosome,protein_coding,protein_coding,18,78,22,Neutral,formate hydrogenlyase regulatory protein HycA,WP_000158056.1,50.0,b2725,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
4003,EDL933_RS19130,chromosome,protein_coding,protein_coding,9,89,36,Neutral,protein HypA,WP_001299100.1,52.7,b2726,Not Essential,R,,,,,,,,,,,,,,,,,,,,,,,
4004,EDL933_RS19135,chromosome,protein_coding,protein_coding,24,54,42,Neutral,hydrogenase accessory protein HypB,WP_000337657.1,55.2,b2727,Not Essential,O,,,,,,,,,,,,,,,,,,,,,,,
4005,EDL933_RS19140,chromosome,protein_coding,protein_coding,9,67,32,Neutral,hydrogenase assembly protein HypC,WP_000334881.1,55.3,b2728,Not Essential,O,,,,,,,,,,,,,,,,,,,,,,,
4006,EDL933_RS19145,chromosome,protein_coding,protein_coding,37,62,29,Neutral,hydrogenase formation protein HypD,WP_001212968.1,56.1,b2729,Not Essential,O,,,,,,,,,,,,,,,,,,,,,,,
4007,EDL933_RS19150,chromosome,protein_coding,protein_coding,38,71,33,Neutral,hydrogenase expression/formation protein HypE,WP_001059937.1,57.7,b2730,Not Essential,O,,,,,,,,,,,,,,,,,,,,,,,
4008,EDL933_RS19155,chromosome,protein_coding,protein_coding,83,75,25,Neutral,formate hydrogenlyase transcriptional activator FlhA,WP_001301446.1,52.2,b2731,Not Essential,KT,,,,,,,,,,,,,,,,,,,,,,,
4009,EDL933_RS19160,chromosome,protein_coding,protein_coding,13,77,24,Neutral,nitrous oxide-stimulated promoter family protein,WP_000015492.1,50.6,b2732,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
4010,EDL933_RS19165,chromosome,protein_coding,protein_coding,94,68,26,Neutral,DNA mismatch repair protein MutS,WP_001272898.1,56.5,b2733,Not Essential,L,,,,,,,,,,,,,,,,,,,,,,,
4011,EDL933_RS19170,chromosome,protein_coding,protein_coding,48,25,8,Underrepresented,serine/threonine protein phosphatase,WP_001141350.1,42.3,b2734,Not Essential,T,,,,,,,,,,,,,,,,,,,,,,,
4012,EDL933_RS19175,chromosome,protein_coding,protein_coding,10,70,45,Neutral,hypothetical protein,WP_000562982.1,54.9,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
4013,EDL933_RS19180,chromosome,protein_coding,protein_coding,50,60,20,Neutral,4-hydroxybenzoate decarboxylase,WP_000863205.1,57.6,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
4014,EDL933_RS19185,chromosome,protein_coding,protein_coding,19,63,16,Neutral,aromatic acid decarboxylase,WP_000767724.1,57.1,---,Not Essential,H,,,,,,,,,,,,,,,,,,,,,,,
4015,EDL933_RS19190,chromosome,protein_coding,protein_coding,12,67,39,Neutral,transcriptional regulator HosA,WP_000175365.1,51.7,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
4016,EDL933_RS19195,chromosome,pseudogene,pseudogene,36,61,17,Neutral,RNA polymerase sigma factor RpoS,---,51.7,b2741,Not Essential,K,,,,,,,,,,,,,,,,,,,,,,,
4017,EDL933_RS19200,chromosome,protein_coding,protein_coding,51,75,17,Neutral,murein hydrolase activator NlpD,WP_001272567.1,52.7,b2742,Not Essential,M,,,,,,,,,,,,,,,,,,,,,,,
4018,EDL933_RS19205,chromosome,protein_coding,protein_coding,23,65,11,Neutral,protein-L-isoaspartate O-methyltransferase,WP_000254708.1,54.1,b2743,Not Essential,O,,,,,,,,,,,,,,,,,,,,,,,
4019,EDL933_RS19210,chromosome,protein_coding,protein_coding,36,72,22,Neutral,5'/3'-nucleotidase SurE,WP_001295182.1,54.7,b2744,Not Essential,L,,,,,,,,,,,,,,,,,,,,,,,
4020,EDL933_RS19215,chromosome,protein_coding,protein_coding,34,77,12,Neutral,tRNA pseudouridine(13) synthase TruD,WP_000568934.1,51.8,b2745,Not Essential,J,,,,,,,,,,,,,,,,,,,,,,,
4021,EDL933_RS19220,chromosome,protein_coding,protein_coding,21,0,0,Underrepresented,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",WP_001219242.1,53.5,b2746,Essential,I,,,,,,,,,,,,,,,,,,,,,,,
4022,EDL933_RS19225,chromosome,protein_coding,protein_coding,23,4,57,Underrepresented,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,WP_000246158.1,55.3,b2747,Essential,I,,,,,,,,,,,,,,,,,,,,,,,
4023,EDL933_RS19230,chromosome,protein_coding,protein_coding,15,13,8,Underrepresented,cell division protein FtsB,WP_000517476.1,51.9,b2748,Essential,D,,,,,,,,,,,,,,,,,,,,,,,
4024,EDL933_RS19235,chromosome,protein_coding,protein_coding,23,91,30,Neutral,membrane protein,WP_001246103.1,47.5,b2749,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
4025,EDL933_RS19240,chromosome,protein_coding,protein_coding,30,80,27,Neutral,adenylyl-sulfate kinase,WP_001173673.1,52.3,b2750,Not Essential,P,,,,,,,,,,,,,,,,,,,,,,,
4026,EDL933_RS19245,chromosome,protein_coding,protein_coding,48,60,18,Neutral,sulfate adenylyltransferase,WP_001090366.1,54.1,b2751,Not Essential,P,,,,,,,,,,,,,,,,,,,,,,,
4027,EDL933_RS19250,chromosome,protein_coding,protein_coding,37,70,22,Neutral,sulfate adenylyltransferase subunit 2,WP_000372111.1,53.7,b2752,Not Essential,EH,,,,,,,,,,,,,,,,,,,,,,,
4028,EDL933_RS19255,chromosome,protein_coding,protein_coding,60,68,21,Neutral,aminopeptidase,WP_000490413.1,48.9,b2753,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
4029,EDL933_RS19260,chromosome,protein_coding,protein_coding,12,50,47,Neutral,type I-E CRISPR-associated endoribonuclease Cas2,WP_000063176.1,49.0,---,Not Essential,V,,,,,,,,,,,,,,,,,,,,,,,
4030,EDL933_RS19265,chromosome,protein_coding,protein_coding,45,67,15,Neutral,type I-E CRISPR-associated endonuclease Cas1,WP_000144847.1,52.1,---,Not Essential,V,,,,,,,,,,,,,,,,,,,,,,,
4031,EDL933_RS19270,chromosome,protein_coding,protein_coding,16,69,15,Neutral,type I-E CRISPR-associated protein Cas6/Cse3/CasE,WP_000281463.1,55.6,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
4032,EDL933_RS19275,chromosome,protein_coding,protein_coding,29,72,19,Neutral,type I-E CRISPR-associated protein Cas5/CasD,WP_000085058.1,55.2,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
4033,EDL933_RS19280,chromosome,protein_coding,protein_coding,41,85,23,Neutral,type I-E CRISPR-associated protein Cas7/Cse4/CasC,WP_000206445.1,51.1,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
4034,EDL933_RS32700,chromosome,pseudogene,pseudogene,1,100,3,Neutral,CRISPR-associated protein CasB,---,40.5,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
4035,EDL933_RS19285,chromosome,protein_coding,protein_coding,27,67,17,Neutral,type I-E CRISPR-associated protein Cse2/CasB,WP_000029325.1,51.2,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
4036,EDL933_RS19290,chromosome,protein_coding,protein_coding,63,60,24,Neutral,type I-E CRISPR-associated protein Cse1/CasA,WP_001084082.1,50.5,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
4037,EDL933_RS19295,chromosome,protein_coding,protein_coding,100,57,35,Neutral,CRISPR-associated helicase/endonuclease Cas3,WP_001233978.1,50.3,---,Not Essential,V,,,,,,,,,,,,,,,,,,,,,,,
4038,EDL933_RS19300,chromosome,protein_coding,protein_coding,13,85,33,Neutral,protein hokG,WP_000956458.1,44.4,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
4039,EDL933_RS19305,chromosome,protein_coding,protein_coding,37,46,14,Neutral,phosphoadenosine phosphosulfate reductase,WP_000039864.1,51.0,b2762,Not Essential,EH,,,,,,,,,,,,,,,,,,,,,,,
4040,EDL933_RS19310,chromosome,protein_coding,protein_coding,50,58,22,Neutral,assimilatory sulfite reductase (NADPH) hemoprotein subunit,WP_001290706.1,56.1,b2763,Not Essential,P,,,,,,,,,,,,,,,,,,,,,,,
4041,EDL933_RS19315,chromosome,protein_coding,protein_coding,63,59,25,Neutral,assimilatory sulfite reductase (NADPH) flavoprotein subunit,WP_000211937.1,56.6,b2764,Not Essential,P,,,,,,,,,,,,,,,,,,,,,,,
4042,EDL933_RS19320,chromosome,protein_coding,protein_coding,20,90,13,Neutral,6-carboxytetrahydropterin synthase QueD,WP_000987944.1,48.6,b2765,Not Essential,H,,,,,,,,,,,,,,,,,,,,,,,
4043,EDL933_RS19325,chromosome,protein_coding,protein_coding,51,69,31,Neutral,FAD-dependent oxidoreductase,WP_001301471.1,54.7,b2766,Not Essential,C,,,,,,,,,,,,,,,,,,,,,,,
4044,EDL933_RS19330,chromosome,protein_coding,protein_coding,10,50,47,Neutral,ferredoxin family protein,WP_000109503.1,55.2,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
4045,EDL933_RS19335,chromosome,protein_coding,protein_coding,23,70,17,Neutral,glycerol-3-phosphate responsive antiterminator,WP_001130278.1,46.9,b2768,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
4046,EDL933_RS19340,chromosome,protein_coding,protein_coding,9,78,24,Neutral,electron transporter,WP_001304056.1,52.5,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
4047,EDL933_RS19345,chromosome,protein_coding,protein_coding,21,71,23,Neutral,electron transfer flavoprotein subunit alpha/FixB family protein,WP_001017366.1,55.8,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
4048,EDL933_RS19350,chromosome,protein_coding,protein_coding,23,52,13,Neutral,electron transfer flavoprotein subunit beta/FixA family protein,WP_001301644.1,55.9,b2770,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
4049,EDL933_RS19355,chromosome,pseudogene,pseudogene,44,77,20,Neutral,MFS transporter,---,53.9,b2771,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
4050,EDL933_RS19360,chromosome,protein_coding,protein_coding,65,59,23,Neutral,FAD-linked oxidoreductase,WP_000059304.1,50.9,b4463,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
4051,EDL933_RS19365,chromosome,protein_coding,protein_coding,46,17,12,Underrepresented,oxidoreductase,WP_000021347.1,46.1,b2774,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
4052,EDL933_RS13635,chromosome,protein_coding,protein_coding,23,44,6,Regional,DUF986 domain-containing protein,WP_000156258.1,45.3,b1820,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
4053,EDL933_RS19375,chromosome,protein_coding,protein_coding,73,75,29,Neutral,kinase,WP_000039703.1,49.4,b2776,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
4054,EDL933_RS13680,chromosome,protein_coding,protein_coding,18,56,21,Regional,membrane protein,WP_001211007.1,43.3,b4536,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
4055,EDL933_RS19390,chromosome,protein_coding,protein_coding,49,27,7,Underrepresented,LemA family protein,WP_042909427.1,41.5,---,Not Essential,S,,,,,,,,,,,,,,,,,,,,,,,
4056,EDL933_RS19395,chromosome,protein_coding,protein_coding,44,57,14,Neutral,hypothetical protein,WP_001243487.1,45.9,---,Not Essential,S,,,,,,,,,,,,,,,,,,,,,,,
4057,EDL933_RS19400,chromosome,protein_coding,protein_coding,53,59,12,Neutral,membrane protein,WP_001217990.1,46.3,---,Not Essential,S,,,,,,,,,,,,,,,,,,,,,,,
4058,EDL933_RS13685,chromosome,protein_coding,protein_coding,39,54,24,Regional,transcriptional regulator,WP_001262182.1,49.6,b1827,Not Essential,K,,,,,,,,,,,,,,,,,,,,,,,
4059,EDL933_RS19410,chromosome,protein_coding,protein_coding,40,8,11,Underrepresented,enolase,WP_000036723.1,50.7,b2779,Essential,G,,,,,,,,,,,,,,,,,,,,,,,
4060,EDL933_RS19415,chromosome,protein_coding,protein_coding,61,2,13,Underrepresented,CTP synthetase,WP_000210878.1,52.0,b2780,Essential,F,,,,,,,,,,,,,,,,,,,,,,,
4061,EDL933_RS19420,chromosome,protein_coding,protein_coding,25,76,33,Neutral,nucleoside triphosphate pyrophosphohydrolase,WP_001071648.1,51.4,b2781,Not Essential,V,,,,,,,,,,,,,,,,,,,,,,,
4062,EDL933_RS19425,chromosome,protein_coding,protein_coding,19,79,23,Neutral,mRNA interferase MazF,WP_000254738.1,47.3,b2782,Not Essential,V,,,,,,,,,,,,,,,,,,,,,,,
4063,EDL933_RS19430,chromosome,protein_coding,protein_coding,14,50,6,Neutral,antitoxin MazE,WP_000581937.1,48.6,b2783,Not Essential,T,,,,,,,,,,,,,,,,,,,,,,,
4064,EDL933_RS19435,chromosome,protein_coding,protein_coding,79,72,31,Neutral,GTP pyrophosphokinase,WP_000226815.1,53.7,b2784,Not Essential,TK,,,,,,,,,,,,,,,,,,,,,,,
4065,EDL933_RS19440,chromosome,protein_coding,protein_coding,64,59,21,Neutral,23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD,WP_000046824.1,51.4,b2785,Not Essential,J,,,,,,,,,,,,,,,,,,,,,,,
4066,EDL933_RS19445,chromosome,protein_coding,protein_coding,120,70,21,Neutral,signal transduction histidine kinase,WP_000186450.1,49.8,b2786,Not Essential,T,,,,,,,,,,,,,,,,,,,,,,,
4067,EDL933_RS19450,chromosome,protein_coding,protein_coding,56,64,18,Neutral,glucarate dehydratase,WP_000098255.1,53.5,b2787,Not Essential,MR,,,,,,,,,,,,,,,,,,,,,,,
4068,EDL933_RS19455,chromosome,protein_coding,protein_coding,40,73,25,Neutral,glucarate dehydratase,WP_000250627.1,55.4,---,Not Essential,MR,,,,,,,,,,,,,,,,,,,,,,,
4069,EDL933_RS32705,chromosome,protein_coding,protein_coding,15,80,13,Neutral,hypothetical protein,WP_000211817.1,50.0,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
4070,EDL933_RS19460,chromosome,protein_coding,protein_coding,54,63,26,Neutral,MFS transporter,WP_000097069.1,52.0,b2789,Not Essential,GEPR,,,,,,,,,,,,,,,,,,,,,,,
4071,EDL933_RS19465,chromosome,protein_coding,protein_coding,15,73,44,Neutral,flavodoxin,WP_000807753.1,52.4,b2790,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
4072,EDL933_RS19470,chromosome,protein_coding,protein_coding,26,50,16,Neutral,tRNA pseudouridine(65) synthase TruC,WP_000890002.1,53.8,b2791,Not Essential,J,,,,,,,,,,,,,,,,,,,,,,,
4073,EDL933_RS19475,chromosome,protein_coding,protein_coding,13,69,13,Neutral,hypothetical protein,WP_000206995.1,52.1,b2792,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
4074,EDL933_RS19485,chromosome,protein_coding,protein_coding,29,66,16,Neutral,protein Syd,WP_000342430.1,47.8,b2793,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
4075,EDL933_RS19490,chromosome,protein_coding,protein_coding,39,72,24,Neutral,NADPH-dependent 7-cyano-7-deazaguanine reductase QueF,WP_000100435.1,49.2,b2794,Not Essential,J,,,,,,,,,,,,,,,,,,,,,,,
4076,EDL933_RS19495,chromosome,protein_coding,protein_coding,62,68,26,Neutral,LOG family protein YgdH,WP_000627995.1,51.1,b2795,Not Essential,R,,,,,,,,,,,,,,,,,,,,,,,
4077,EDL933_RS19500,chromosome,protein_coding,protein_coding,53,64,23,Neutral,serine transporter,WP_000450476.1,52.2,b2796,Not Essential,E,,,,,,,,,,,,,,,,,,,,,,,
4078,EDL933_RS19505,chromosome,protein_coding,protein_coding,58,71,19,Neutral,L-serine ammonia-lyase,WP_000626399.1,54.3,b2797,Not Essential,E,,,,,,,,,,,,,,,,,,,,,,,
4079,EDL933_RS19510,chromosome,protein_coding,protein_coding,28,54,17,Neutral,flap endonuclease Xni,WP_000268232.1,52.9,b2798,Not Essential,L,,,,,,,,,,,,,,,,,,,,,,,
4080,EDL933_RS19515,chromosome,protein_coding,protein_coding,53,68,29,Neutral,lactaldehyde reductase,WP_000013588.1,53.6,b2799,Not Essential,C,,,,,,,,,,,,,,,,,,,,,,,
4081,EDL933_RS19520,chromosome,protein_coding,protein_coding,28,75,23,Neutral,L-fuculose-phosphate aldolase,WP_000440775.1,49.5,b2800,Not Essential,G,,,,,,,,,,,,,,,,,,,,,,,
4082,EDL933_RS13820,chromosome,protein_coding,protein_coding,54,35,9,Regional,glucose-6-phosphate 1-dehydrogenase,WP_000301737.1,51.7,b1852,Not Essential,G,,,,,,,,,,,,,,,,,,,,,,,
4083,EDL933_RS19530,chromosome,protein_coding,protein_coding,60,57,36,Neutral,L-fucose isomerase,WP_001033899.1,54.7,b2802,Not Essential,G,,,,,,,,,,,,,,,,,,,,,,,
4084,EDL933_RS19535,chromosome,protein_coding,protein_coding,64,66,17,Neutral,L-fuculokinase,WP_000808389.1,51.1,b2803,Not Essential,G,,,,,,,,,,,,,,,,,,,,,,,
4085,EDL933_RS19540,chromosome,protein_coding,protein_coding,18,67,23,Neutral,L-fucose mutarotase,WP_000920840.1,48.9,b2804,Not Essential,G,,,,,,,,,,,,,,,,,,,,,,,
4086,EDL933_RS19545,chromosome,protein_coding,protein_coding,33,79,16,Neutral,transcriptional regulator,WP_000642345.1,48.0,b2805,Not Essential,KG,,,,,,,,,,,,,,,,,,,,,,,
4087,EDL933_RS19550,chromosome,protein_coding,protein_coding,43,72,29,Neutral,23S rRNA (cytidine(2498)-2'-O)-methyltransferase RlmM,WP_001045520.1,52.5,b2806,Not Essential,J,,,,,,,,,,,,,,,,,,,,,,,
4088,EDL933_RS19555,chromosome,protein_coding,protein_coding,17,71,27,Neutral,hypothetical protein,WP_000203905.1,54.3,b2807,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
4089,EDL933_RS19560,chromosome,protein_coding,protein_coding,44,71,37,Neutral,glycine cleavage system transcriptional activator,WP_000044401.1,49.0,b2808,Not Essential,K,,,,,,,,,,,,,,,,,,,,,,,
4090,EDL933_RS19565,chromosome,protein_coding,protein_coding,12,83,28,Neutral,YgdI/YgdR family lipoprotein,WP_000750398.1,46.9,b2809,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
4091,EDL933_RS19570,chromosome,protein_coding,protein_coding,39,74,27,Neutral,cysteine desulfurase CsdA,WP_001301742.1,56.1,b2810,Not Essential,E,,,,,,,,,,,,,,,,,,,,,,,
4092,EDL933_RS19575,chromosome,protein_coding,protein_coding,17,71,27,Neutral,sulfur acceptor protein CsdE,WP_000184261.1,55.0,b2811,Not Essential,O,,,,,,,,,,,,,,,,,,,,,,,
4093,EDL933_RS19580,chromosome,protein_coding,protein_coding,30,67,23,Neutral,tRNA cyclic N6-threonylcarbamoyladenosine(37) synthase TcdA,WP_000117733.1,54.4,b2812,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
4094,EDL933_RS19585,chromosome,protein_coding,protein_coding,54,72,31,Neutral,murein transglycosylase A,WP_000678646.1,52.7,b2813,Not Essential,M,,,,,,,,,,,,,,,,,,,,,,,
4095,EDL933_RS31155,chromosome,pseudogene,pseudogene,6,33,21,Neutral,murein transglycosylase,---,35.5,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
4096,EDL933_RS19590,chromosome,RNA,tRNA,2,50,1,Neutral,tRNA-Met,---,66.2,b2816,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
4097,EDL933_RS19595,chromosome,RNA,tRNA,2,0,0,Neutral,tRNA-Met,---,66.2,b2816,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
4098,EDL933_RS19600,chromosome,RNA,tRNA,2,0,0,Neutral,tRNA-Met,---,66.2,b2816,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
4099,EDL933_RS19605,chromosome,protein_coding,protein_coding,46,76,16,Neutral,N-acetylmuramoyl-L-alanine amidase,WP_000016907.1,53.6,b2817,Not Essential,M,,,,,,,,,,,,,,,,,,,,,,,
4100,EDL933_RS19610,chromosome,protein_coding,protein_coding,54,61,25,Neutral,N-acetylglutamate synthase,WP_000237947.1,52.9,b2818,Not Essential,E,,,,,,,,,,,,,,,,,,,,,,,
4101,EDL933_RS19615,chromosome,protein_coding,protein_coding,63,71,25,Neutral,exonuclease V subunit alpha,WP_000775988.1,55.1,b2819,Not Essential,L,,,,,,,,,,,,,,,,,,,,,,,
4102,EDL933_RS13920,chromosome,protein_coding,protein_coding,37,46,11,Regional,tRNA 5-methoxyuridine(34)/uridine 5-oxyacetic acid(34) synthase CmoB,WP_000564730.1,51.6,b1871,Not Essential,QR,,,,,,,,,,,,,,,,,,,,,,,
4103,EDL933_RS19625,chromosome,protein_coding,protein_coding,135,70,24,Neutral,protease 3,WP_001138211.1,50.8,b2821,Not Essential,O,,,,,,,,,,,,,,,,,,,,,,,
4104,EDL933_RS19630,chromosome,protein_coding,protein_coding,125,45,11,Neutral,exodeoxyribonuclease V subunit gamma,WP_000946911.1,53.9,b2822,Not Essential,L,,,,,,,,,,,,,,,,,,,,,,,
4105,EDL933_RS19635,chromosome,protein_coding,protein_coding,9,78,32,Neutral,prepilin-type cleavage/methylation domain-containing protein,WP_001276465.1,54.0,b2823,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
4106,EDL933_RS19640,chromosome,protein_coding,protein_coding,11,82,25,Neutral,hypothetical protein,WP_001078379.1,53.4,b2824,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
4107,EDL933_RS19645,chromosome,protein_coding,protein_coding,26,81,28,Neutral,prepilin-type cleavage/methylation domain-containing protein,WP_001144311.1,51.6,b2825,Not Essential,U,,,,,,,,,,,,,,,,,,,,,,,
4108,EDL933_RS19650,chromosome,protein_coding,protein_coding,15,80,32,Neutral,prepilin-type cleavage/methylation domain-containing protein,WP_000857037.1,53.5,b2826,Not Essential,NUW,,,,,,,,,,,,,,,,,,,,,,,
4109,EDL933_RS19655,chromosome,protein_coding,protein_coding,33,3,28,Underrepresented,thymidylate synthase,WP_000816232.1,50.7,b2827,Not Essential,F,,,,,,,,,,,,,,,,,,,,,,,
4110,EDL933_RS19660,chromosome,protein_coding,protein_coding,32,0,0,Underrepresented,prolipoprotein diacylglyceryl transferase,WP_000204658.1,53.1,b2828,Essential,M,,,,,,,,,,,,,,,,,,,,,,,
4111,EDL933_RS19665,chromosome,protein_coding,protein_coding,82,73,31,Neutral,phosphoenolpyruvate-protein phosphotransferase PtsP,WP_000957914.1,53.8,b2829,Not Essential,T,,,,,,,,,,,,,,,,,,,,,,,
4112,EDL933_RS19670,chromosome,protein_coding,protein_coding,25,52,8,Neutral,RNA pyrophosphohydrolase,WP_000564489.1,49.3,b2830,Not Essential,V,,,,,,,,,,,,,,,,,,,,,,,
4113,EDL933_RS19685,chromosome,protein_coding,protein_coding,27,59,30,Neutral,DNA mismatch repair protein MutH,WP_000082188.1,53.6,b2831,Not Essential,L,,,,,,,,,,,,,,,,,,,,,,,
4114,EDL933_RS19690,chromosome,protein_coding,protein_coding,25,72,16,Neutral,TerC family protein,WP_000895624.1,51.0,b2832,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
4115,EDL933_RS19695,chromosome,protein_coding,protein_coding,10,60,30,Neutral,YgdI/YgdR family lipoprotein,WP_000758655.1,43.4,b2833,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
4116,EDL933_RS19700,chromosome,protein_coding,protein_coding,47,83,22,Neutral,NADP(H)-dependent aldo-keto reductase,WP_001199292.1,54.2,b2834,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
4117,EDL933_RS19705,chromosome,protein_coding,protein_coding,51,61,19,Neutral,MFS transporter,WP_000004620.1,55.6,b2835,Not Essential,GEPR,,,,,,,,,,,,,,,,,,,,,,,
4118,EDL933_RS19710,chromosome,protein_coding,protein_coding,85,74,35,Neutral,bifunctional 2-acylglycerophosphoethanolamine acyltransferase/acyl-ACP synthetase,WP_000899007.1,52.2,b2836,Not Essential,I,,,,,,,,,,,,,,,,,,,,,,,
